Sales_order_number,Product_reference,Production_cost,Waste_kg,Disposal_waste_cost
SO-000475,Chrysal Root R,91737.41,1091.68,545.84
SO-000476,Chrysal Grow X,52948.52,2093.22,1046.61
SO-000477,Chrysal Protect Y,63524.09,1729.3,864.65
SO-000478,Chrysal Grow X,59868.88,1137.87,568.935
SO-000479,Chrysal Flora F,39404.09,942.38,471.19
SO-000480,Chrysal Grow X,52891.71,1328.17,664.085
SO-000481,Chrysal Flora F,53007.94,1290.57,645.285
SO-000482,Chrysal Flora F,19391.9,201.99,100.995
SO-000483,Chrysal Boost Z,14316.95,143.06,71.53
SO-000484,Chrysal Root R,42318.46,780.21,390.105
SO-000485,Chrysal Flora F,94156.3,1744.85,872.425
SO-000486,Chrysal Boost Z,17486.99,169.15,84.575
SO-000487,Chrysal Root R,57603.02,553.8,276.9
SO-000488,Chrysal Flora F,22070.84,241.16,120.58
SO-000489,Chrysal Flora F,64979.83,1587.26,793.63
SO-000490,Chrysal Grow X,60159.39,1351.53,675.765
SO-000491,Chrysal Grow X,31986.91,912.34,456.17
SO-000492,Chrysal Root R,26560.28,404.66,202.33
SO-000493,Chrysal Flora F,46649.23,1033.06,516.53
SO-000494,Chrysal Protect Y,57075.17,1547.39,773.695
SO-000495,Chrysal Grow X,81526.62,1639.89,819.945
SO-000496,Chrysal Root R,69599.88,1616.13,808.065
SO-000497,Chrysal Flora F,71081.81,855.28,427.64
SO-000498,Chrysal Flora F,99050.44,2097.98,1048.99
SO-000499,Chrysal Protect Y,22496.32,361.94,180.97
SO-000500,Chrysal Root R,92562.24,1520.32,760.16
SO-000501,Chrysal Flora F,9408.29,245.9,122.95
SO-000502,Chrysal Grow X,19765.98,324.12,162.06
SO-000503,Chrysal Protect Y,80214.73,923.62,461.81
SO-000504,Chrysal Root R,33586.9,813.61,406.805
SO-000505,Chrysal Protect Y,43612.46,257.41,128.705
SO-000506,Chrysal Grow X,75915.18,1976.3,988.15
SO-000507,Chrysal Root R,5206.76,123.9,61.95
SO-000508,Chrysal Protect Y,111298.42,1835.78,917.89
SO-000509,Chrysal Boost Z,28528.47,836.96,418.48
SO-000510,Chrysal Grow X,23044.34,,
SO-000511,Chrysal Grow X,79791.78,1445.24,722.62
SO-000512,Chrysal Grow X,59985.03,1174.9,587.45
SO-000513,Chrysal Boost Z,110605.34,2084.29,1042.145
SO-000514,Chrysal Boost Z,39647.17,1066.34,533.17
SO-000515,Chrysal Flora F,65573.99,1298.18,649.09
SO-000516,Chrysal Protect Y,42377.81,412.66,206.33
SO-000517,Chrysal Flora F,95204.38,1487.9,743.95
SO-000518,Chrysal Protect Y,11910.93,229.6,114.8
SO-000519,Chrysal Boost Z,45113.38,547.75,273.875
SO-000520,Chrysal Boost Z,85545.64,762.5,381.25
SO-000521,Chrysal Flora F,54536.54,1134.88,567.44
SO-000522,Chrysal Root R,14471.79,117.07,58.535
SO-000523,Chrysal Flora F,109970.16,1081.85,540.925
SO-000524,Chrysal Protect Y,104956.16,2180.37,1090.185
SO-000525,Chrysal Flora F,52677.67,797.04,398.52
SO-000526,Chrysal Grow X,14162.22,175.1,87.55
SO-000527,Chrysal Protect Y,20713.68,565.46,282.73
SO-000528,Chrysal Protect Y,94189.39,2436.83,1218.415
SO-000529,Chrysal Root R,10418.47,157.49,78.745
SO-000530,Chrysal Boost Z,70163.36,959.96,479.98
SO-000531,Chrysal Protect Y,4916.88,140.61,70.305
SO-000532,Chrysal Boost Z,46837.26,1039.79,519.895
SO-000533,Chrysal Flora F,64853.72,1226.66,613.33
SO-000534,Chrysal Grow X,27308.47,874.73,437.365
SO-000535,Chrysal Root R,58594.35,1940.12,970.06
SO-000536,Chrysal Boost Z,54249.45,896.37,448.185
SO-000537,Chrysal Protect Y,2103.09,,
SO-000538,Chrysal Boost Z,50898.2,698.45,349.225
SO-000539,Chrysal Protect Y,46386.35,1296.53,648.265
SO-000540,Chrysal Boost Z,3277.47,83.55,41.775
SO-000541,Chrysal Protect Y,103586.38,691.36,345.68
SO-000542,Chrysal Flora F,84161.33,1405.52,702.76
SO-000543,Chrysal Protect Y,79847.28,1366.29,683.145
SO-000544,Chrysal Protect Y,42317.99,456.87,228.435
SO-000545,Chrysal Grow X,52645.7,1421.74,710.87
SO-000546,Chrysal Protect Y,42553.52,673.57,336.785
SO-000547,Chrysal Grow X,22331.28,517.45,258.725
SO-000548,Chrysal Root R,67189.09,686.64,343.32
SO-000549,Chrysal Grow X,77739.64,1710.35,855.175
SO-000550,Chrysal Flora F,6653.52,171.38,85.69
SO-000551,Chrysal Grow X,81839.04,1753.5,876.75
SO-000552,Chrysal Root R,84658.6,1195.96,597.98
SO-000553,Chrysal Flora F,69915.03,2535.06,1267.53
SO-000554,Chrysal Boost Z,17594.94,240.14,120.07
SO-000555,Chrysal Boost Z,51902.44,459.57,229.785
SO-000556,Chrysal Grow X,40749.29,723.46,361.73
SO-000557,Chrysal Grow X,45012.91,323.49,161.745
SO-000558,Chrysal Root R,13291.64,429.2,214.6
SO-000559,Chrysal Root R,46972.1,451.28,225.64
SO-000560,Chrysal Protect Y,13644.4,,
SO-000561,Chrysal Root R,62018.05,2110.83,1055.415
SO-000562,Chrysal Protect Y,81617.01,1055.89,527.945
SO-000563,Chrysal Flora F,16043.25,451.37,225.685
SO-000564,Chrysal Grow X,68736.55,556.12,278.06
SO-000565,Chrysal Flora F,65719.96,1074.05,537.025
SO-000566,Chrysal Root R,53333.79,532.2,266.1
SO-000567,Chrysal Flora F,70500.76,2268.97,1134.485
SO-000568,Chrysal Flora F,82096.89,2170.68,1085.34
SO-000569,Chrysal Flora F,11487.85,147.68,73.84
SO-000570,Chrysal Root R,73725.88,1061.33,530.665
SO-000571,Chrysal Flora F,11261.16,,
SO-000572,Chrysal Protect Y,26066.99,321.33,160.665
SO-000573,Chrysal Root R,45596.74,1203.89,601.945
SO-000574,Chrysal Flora F,59223.17,1118.33,559.165
SO-000575,Chrysal Root R,69489.92,828.69,414.345
SO-000576,Chrysal Boost Z,35932.7,1081.96,540.98
SO-000577,Chrysal Protect Y,22119.86,468.27,234.135
SO-000578,Chrysal Flora F,78909.45,1966.13,983.065
SO-000579,Chrysal Boost Z,77221.39,2334.68,1167.34
SO-000580,Chrysal Boost Z,24404.89,192.06,96.03
SO-000581,Chrysal Root R,7483.77,54.78,27.39
SO-000582,Chrysal Boost Z,14027.37,,
SO-000583,Chrysal Protect Y,33118.29,,
SO-000584,Chrysal Protect Y,2715.03,24.21,12.105
SO-000585,Chrysal Grow X,97023.51,2363.43,1181.715
SO-000586,Chrysal Protect Y,29391.96,,
SO-000587,Chrysal Boost Z,17107.91,225.74,112.87
SO-000588,Chrysal Protect Y,64516.77,2161.09,1080.545
SO-000589,Chrysal Root R,17721.48,182.12,91.06
SO-000590,Chrysal Grow X,105743.44,2210.17,1105.085
SO-000591,Chrysal Boost Z,28818.16,386.88,193.44
SO-000592,Chrysal Grow X,56616.53,1129.09,564.545
SO-000593,Chrysal Boost Z,18008.66,232.36,116.18
SO-000594,Chrysal Root R,56857.86,876.01,438.005
SO-000595,Chrysal Grow X,13119.38,361.71,180.855
SO-000596,Chrysal Flora F,95258.26,,
SO-000597,Chrysal Boost Z,81621.05,1762.29,881.145
SO-000598,Chrysal Flora F,70542.63,1261.17,630.585
SO-000599,Chrysal Grow X,3229.21,,
SO-000600,Chrysal Flora F,50133.46,940.84,470.42
SO-000601,Chrysal Flora F,98603.53,1321.84,660.92
SO-000602,Chrysal Grow X,98941.47,1715.85,857.925
SO-000603,Chrysal Root R,44426.23,582.91,291.455
SO-000604,Chrysal Flora F,60430.06,1568.32,784.16
SO-000605,Chrysal Flora F,31768.1,268.54,134.27
SO-000606,Chrysal Root R,84375.25,1547.17,773.585
SO-000607,Chrysal Flora F,44762.79,729.33,364.665
SO-000608,Chrysal Flora F,71351.8,1782.79,891.395
SO-000609,Chrysal Flora F,30322.8,812.29,406.145
SO-000610,Chrysal Protect Y,101269.38,1410.38,705.19
SO-000611,Chrysal Root R,13657.43,190.89,95.445
SO-000612,Chrysal Flora F,82388.97,1050.07,525.035
SO-000613,Chrysal Root R,4951.5,45.35,22.675
SO-000614,Chrysal Boost Z,32377.76,342.8,171.4
SO-000615,Chrysal Boost Z,13158.56,219.59,109.795
SO-000616,Chrysal Flora F,56040.23,1009.53,504.765
SO-000617,Chrysal Root R,14100.45,191.77,95.885
SO-000618,Chrysal Root R,12354.56,117.2,58.6
SO-000619,Chrysal Root R,12389.22,96.12,48.06
SO-000620,Chrysal Protect Y,68488.16,627.59,313.795
SO-000621,Chrysal Boost Z,35434.85,388.22,194.11
SO-000622,Chrysal Root R,10014.1,155.05,77.525
SO-000623,Chrysal Root R,12820.89,180.4,90.2
SO-000624,Chrysal Protect Y,59403.05,801.14,400.57
SO-000625,Chrysal Protect Y,29163.72,515.41,257.705
SO-000626,Chrysal Root R,62004.92,1057.46,528.73
SO-000627,Chrysal Grow X,64968.53,980.86,490.43
SO-000628,Chrysal Root R,30592.15,242.15,121.075
SO-000629,Chrysal Root R,25650.19,581.63,290.815
SO-000630,Chrysal Protect Y,16156.73,,
SO-000631,Chrysal Protect Y,76577.12,851.67,425.835
SO-000632,Chrysal Root R,9586.93,88.8,44.4
SO-000633,Chrysal Root R,71294.25,1703.38,851.69
SO-000634,Chrysal Root R,65852.82,1248.42,624.21
SO-000635,Chrysal Protect Y,73362.31,907.1,453.55
SO-000636,Chrysal Root R,89784.04,1981.78,990.89
SO-000637,Chrysal Root R,35013.31,1032.77,516.385
SO-000638,Chrysal Flora F,28113.62,431.35,215.675
SO-000639,Chrysal Grow X,53284.08,1141.81,570.905
SO-000640,Chrysal Boost Z,47268.98,502.39,251.195
SO-000641,Chrysal Grow X,51545.17,691.47,345.735
SO-000642,Chrysal Flora F,63632.36,,
SO-000643,Chrysal Boost Z,94436.39,645.52,322.76
SO-000644,Chrysal Root R,72501.99,1088.78,544.39
SO-000645,Chrysal Flora F,8550.2,282.03,141.015
SO-000646,Chrysal Root R,103009.91,2204.67,1102.335
SO-000647,Chrysal Protect Y,28690.43,303.26,151.63
SO-000648,Chrysal Flora F,12292.41,235.88,117.94
SO-000649,Chrysal Protect Y,97075.47,1669.64,834.82
SO-000650,Chrysal Flora F,23966.68,731.0,365.5
SO-000651,Chrysal Flora F,29695.89,561.81,280.905
SO-000652,Chrysal Protect Y,3924.22,,
SO-000653,Chrysal Boost Z,62723.07,728.22,364.11
SO-000654,Chrysal Grow X,46814.46,765.71,382.855
SO-000655,Chrysal Root R,34406.03,537.65,268.825
SO-000656,Chrysal Flora F,97583.27,1844.34,922.17
SO-000657,Chrysal Root R,73980.6,,
SO-000658,Chrysal Protect Y,52398.69,661.99,330.995
SO-000659,Chrysal Root R,9723.18,201.2,100.6
SO-000660,Chrysal Protect Y,77208.59,848.49,424.245
SO-000661,Chrysal Root R,34278.39,914.52,457.26
SO-000662,Chrysal Grow X,29109.63,956.36,478.18
SO-000663,Chrysal Grow X,48704.8,1652.66,826.33
SO-000664,Chrysal Grow X,71805.53,1806.8,903.4
SO-000665,Chrysal Grow X,67019.72,632.98,316.49
SO-000666,Chrysal Grow X,67041.82,497.84,248.92
SO-000667,Chrysal Grow X,27225.12,684.97,342.485
SO-000668,Chrysal Protect Y,79855.95,2156.5,1078.25
SO-000669,Chrysal Flora F,25395.77,360.52,180.26
SO-000670,Chrysal Root R,73725.77,371.16,185.58
SO-000671,Chrysal Grow X,38264.01,815.72,407.86
SO-000672,Chrysal Protect Y,61294.99,411.81,205.905
SO-000673,Chrysal Protect Y,4264.96,57.78,28.89
SO-000674,Chrysal Protect Y,64364.37,1400.51,700.255
SO-000675,Chrysal Flora F,71000.75,919.13,459.565
SO-000676,Chrysal Root R,55933.25,502.63,251.315
SO-000677,Chrysal Flora F,101408.21,,
SO-000678,Chrysal Boost Z,57147.93,1028.97,514.485
SO-000679,Chrysal Protect Y,86667.73,2737.92,1368.96
SO-000680,Chrysal Boost Z,33997.07,464.52,232.26
SO-000681,Chrysal Grow X,8291.26,57.58,28.79
SO-000682,Chrysal Grow X,40165.7,754.19,377.095
SO-000683,Chrysal Flora F,27843.78,392.94,196.47
SO-000684,Chrysal Root R,66269.23,742.38,371.19
SO-000685,Chrysal Boost Z,69123.62,1874.38,937.19
SO-000686,Chrysal Root R,40657.76,636.29,318.145
SO-000687,Chrysal Flora F,23841.02,261.56,130.78
SO-000688,Chrysal Grow X,124485.64,879.62,439.81
SO-000689,Chrysal Root R,11080.72,249.99,124.995
SO-000690,Chrysal Root R,27733.14,373.95,186.975
SO-000691,Chrysal Grow X,84653.31,1640.93,820.465
SO-000692,Chrysal Boost Z,50093.46,1098.6,549.3
SO-000693,Chrysal Grow X,92471.52,2175.43,1087.715
SO-000694,Chrysal Root R,27202.55,326.28,163.14
SO-000695,Chrysal Boost Z,26079.92,303.0,151.5
SO-000696,Chrysal Boost Z,74479.46,605.26,302.63
SO-000697,Chrysal Grow X,85041.16,669.3,334.65
SO-000698,Chrysal Root R,41102.49,846.95,423.475
SO-000699,Chrysal Flora F,91872.6,2069.15,1034.575
SO-000700,Chrysal Root R,61275.33,1565.2,782.6
