sales_order_number,fecha,pais,product_reference,campaign_id,category_product,sales_revenue,production_cost_usd
SO-000295,2024-05-12,Kenya,Chrysal Flora F,4,Insecticida,73412.18,51140.0
SO-000296,2024-04-19,Ecuador,Chrysal Protect Y,1,Fertilizante,75280.47,49144.8
SO-000297,2025-02-13,Colombia,Chrysal Boost Z,2,Insecticida,75191.21,50761.6
SO-000298,2024-02-05,Kenya,Chrysal Root R,2,Fungicida,122477.43,51457.8
SO-000299,2023-09-17,Kenya,Chrysal Boost Z,1,Regulador de creci,43526.05,50834.1
SO-000300,2023-01-20,Colombia,Chrysal Grow X,2,Fungicida,55261.32,51500.5
SO-000301,2023-11-28,Holanda,Chrysal Flora F,4,Insecticida,256286.03,50405.0
SO-000302,2025-01-23,Ecuador,Chrysal Flora F,1,Nutricional,65572.5,50085.8
SO-000303,2023-01-10,Kenya,Chrysal Root R,2,Fertilizante,68130.69,50950.0
SO-000304,2025-03-28,Colombia,Chrysal Root R,4,Fungicida,64700.68,51022.1
SO-000305,2024-05-10,Ecuador,Chrysal Flora F,2,Fertilizante,113230.32,50756.1
SO-000306,2023-05-08,Holanda,Chrysal Grow X,2,Fertilizante,205230.4,51859.1
SO-000307,2023-10-03,Ecuador,Chrysal Boost Z,4,Fertilizante,82335.7,50404.9
SO-000308,2024-05-20,Holanda,Chrysal Boost Z,2,Nutricional,36285.41,51219.2
SO-000309,2023-10-15,Kenya,Chrysal Protect Y,1,Nutricional,110785.69,51047.6
SO-000310,2023-04-10,Holanda,Chrysal Grow X,1,Regulador de creci,222441.07,49910.3
SO-000311,2024-08-30,Holanda,Chrysal Protect Y,4,Nutricional,146018.1,50076.7
SO-000312,2024-09-05,Ecuador,Chrysal Root R,2,Fertilizante,30000.0,51008.3
SO-000313,2023-04-19,Colombia,Chrysal Protect Y,2,Fungicida,66760.57,52386.8
SO-000314,2023-09-14,Colombia,Chrysal Grow X,1,Insecticida,102639.31,51405.5
SO-000315,2023-08-11,Holanda,Chrysal Boost Z,2,Fungicida,30000.0,49792.1
SO-000316,2024-08-24,Kenya,Chrysal Boost Z,4,Fertilizante,81848.31,48822.7
SO-000317,2024-10-28,Ecuador,Chrysal Root R,2,Regulador de creci,57039.33,51513.1
SO-000318,2024-10-25,Ecuador,Chrysal Grow X,4,Nutricional,44451.04,50932.7
SO-000319,2025-05-06,Holanda,Chrysal Grow X,2,Fertilizante,249243.71,51798.9
SO-000320,2024-12-02,Holanda,Chrysal Root R,2,Fertilizante,252185.61,50383.5
SO-000321,2023-10-20,Colombia,Chrysal Grow X,4,Fungicida,96510.35,51245.1
SO-000322,2023-04-09,Kenya,Chrysal Flora F,2,Fertilizante,104531.35,51592.3
SO-000323,2024-07-14,Ecuador,Chrysal Boost Z,2,Fertilizante,93088.38,50686.8
SO-000324,2025-04-15,Kenya,Chrysal Flora F,4,Fungicida,73410.15,50701.7
SO-000325,2025-06-08,Kenya,Chrysal Flora F,2,Nutricional,96948.22,51017.7
SO-000326,2023-07-29,Holanda,Chrysal Grow X,2,Insecticida,290239.44,51379.9
SO-000327,2023-08-04,Ecuador,Chrysal Protect Y,4,Nutricional,56656.28,50990.0
SO-000328,2023-02-04,Kenya,Chrysal Flora F,1,Regulador de creci,135512.37,51681.8
SO-000329,2023-05-09,Colombia,Chrysal Protect Y,2,Insecticida,69449.62,50676.6
SO-000330,2024-05-21,Holanda,Chrysal Boost Z,1,Fungicida,30000.0,50070.1
SO-000331,2024-05-13,Colombia,Chrysal Boost Z,2,Fungicida,30000.0,52383.9
SO-000332,2023-12-05,Colombia,Chrysal Grow X,1,Fungicida,118294.13,50576.8
SO-000333,2023-10-10,Colombia,Chrysal Boost Z,3,Nutricional,124062.91,50602.1
SO-000334,2025-01-26,Holanda,Chrysal Flora F,1,Insecticida,143141.79,50953.9
SO-000335,2024-02-24,Kenya,Chrysal Flora F,3,Insecticida,96763.13,51047.0
SO-000336,2025-01-07,Holanda,Chrysal Grow X,2,Nutricional,30000.0,50729.3
SO-000337,2025-05-28,Holanda,Chrysal Protect Y,2,Nutricional,171999.62,50987.8
SO-000338,2023-10-17,Ecuador,Chrysal Root R,2,Regulador de creci,96413.67,50972.2
SO-000339,2023-07-04,Ecuador,Chrysal Flora F,3,Fertilizante,55741.09,51122.4
SO-000340,2025-05-19,Kenya,Chrysal Grow X,2,Insecticida,61737.29,49349.8
SO-000341,2024-08-01,Holanda,Chrysal Flora F,2,Fertilizante,169572.33,52316.6
SO-000342,2023-09-23,Ecuador,Chrysal Flora F,4,Fungicida,109239.73,50896.9
SO-000343,2024-07-21,Colombia,Chrysal Grow X,2,Nutricional,58808.73,51406.4
SO-000344,2024-04-14,Holanda,Chrysal Grow X,1,Fertilizante,358827.04,50035.3
SO-000345,2025-04-05,Ecuador,Chrysal Flora F,4,Fertilizante,60632.1,50670.3
SO-000346,2023-08-22,Kenya,Chrysal Grow X,2,Regulador de creci,101979.19,50529.4
SO-000347,2025-06-23,Kenya,Chrysal Boost Z,1,Nutricional,50000.46,52028.8
SO-000348,2025-05-03,Kenya,Chrysal Flora F,2,Insecticida,90701.38,50589.9
SO-000349,2023-06-14,Kenya,Chrysal Boost Z,1,Nutricional,102405.4,51530.7
SO-000350,2023-05-31,Holanda,Chrysal Boost Z,1,Fertilizante,213793.77,50544.7
SO-000351,2024-05-01,Colombia,Chrysal Boost Z,3,Fertilizante,110301.91,50683.2
SO-000352,2023-02-10,Holanda,Chrysal Grow X,1,Regulador de creci,239266.32,50828.1
SO-000353,2023-09-30,Colombia,Chrysal Flora F,4,Fungicida,73584.33,51898.7
SO-000354,2024-02-01,Ecuador,Chrysal Root R,4,Regulador de creci,50682.61,49677.1
SO-000355,2025-06-03,Holanda,Chrysal Grow X,3,Fungicida,30000.0,50079.0
SO-000356,2025-06-24,Kenya,Chrysal Root R,3,Insecticida,57004.39,49636.9
SO-000357,2023-05-19,Ecuador,Chrysal Flora F,3,Insecticida,90493.15,50238.7
SO-000358,2025-03-24,Ecuador,Chrysal Grow X,4,Nutricional,77860.52,50431.9
SO-000359,2023-03-24,Holanda,Chrysal Flora F,2,Fungicida,30000.0,49869.9
SO-000360,2024-11-13,Holanda,Chrysal Protect Y,1,Fungicida,239454.34,50486.1
SO-000361,2025-02-10,Ecuador,Chrysal Flora F,2,Fungicida,121486.17,49589.7
SO-000362,2025-03-23,Kenya,Chrysal Flora F,2,Fertilizante,86049.73,50287.4
SO-000363,2023-07-23,Ecuador,Chrysal Flora F,1,Nutricional,49725.49,51840.3
SO-000364,2025-03-25,Ecuador,Chrysal Flora F,3,Fungicida,89159.85,51282.5
SO-000365,2023-04-16,Ecuador,Chrysal Grow X,1,Fungicida,75616.58,51131.2
SO-000366,2024-04-18,Colombia,Chrysal Flora F,4,Regulador de creci,183621.39,50298.1
SO-000367,2024-03-04,Kenya,Chrysal Boost Z,2,Insecticida,88553.72,49924.7
SO-000368,2023-10-16,Colombia,Chrysal Boost Z,1,Regulador de creci,68581.25,50202.6
SO-000369,2023-01-21,Kenya,Chrysal Flora F,1,Regulador de creci,122600.84,50969.8
SO-000370,2024-12-05,Ecuador,Chrysal Flora F,1,Fertilizante,30000.0,51607.7
SO-000371,2023-11-03,Kenya,Chrysal Protect Y,2,Insecticida,82829.6,51631.7
SO-000372,2024-08-26,Holanda,Chrysal Boost Z,1,Nutricional,316360.79,51441.4
SO-000373,2024-01-10,Colombia,Chrysal Boost Z,2,Fungicida,76514.02,50483.7
SO-000374,2023-12-07,Ecuador,Chrysal Root R,1,Fertilizante,30000.0,51017.2
SO-000375,2025-03-19,Colombia,Chrysal Root R,2,Fertilizante,68122.46,50775.1
SO-000376,2023-03-28,Colombia,Chrysal Boost Z,2,Nutricional,123635.54,50859.2
SO-000377,2024-11-02,Colombia,Chrysal Grow X,2,Regulador de creci,91282.09,52426.0
SO-000378,2024-11-12,Colombia,Chrysal Grow X,2,Insecticida,54834.32,49766.6
SO-000379,2023-12-13,Holanda,Chrysal Flora F,1,Fertilizante,398505.86,50835.7
SO-000380,2023-08-28,Kenya,Chrysal Boost Z,1,Nutricional,63208.99,51848.2
SO-000381,2023-01-05,Holanda,Chrysal Flora F,1,Insecticida,190175.13,49973.9
SO-000382,2025-05-04,Colombia,Chrysal Protect Y,4,Regulador de creci,120145.88,50549.4
SO-000383,2025-05-14,Colombia,Chrysal Grow X,4,Regulador de creci,111572.69,50629.7
SO-000384,2023-08-08,Holanda,Chrysal Grow X,4,Fertilizante,281275.95,50843.7
SO-000385,2023-01-30,Colombia,Chrysal Root R,2,Nutricional,40050.66,49882.8
SO-000386,2023-04-22,Kenya,Chrysal Flora F,2,Nutricional,40162.02,51416.7
SO-000387,2023-03-03,Colombia,Chrysal Root R,2,Nutricional,95997.56,51466.4
SO-000388,2025-01-27,Holanda,Chrysal Boost Z,4,Insecticida,30000.0,51355.9
SO-000389,2025-03-24,Holanda,Chrysal Flora F,4,Insecticida,233546.94,50390.7
SO-000390,2023-05-20,Holanda,Chrysal Flora F,4,Fungicida,500862.07,51060.6
SO-000391,2024-11-12,Colombia,Chrysal Root R,4,Fertilizante,45872.18,50370.4
SO-000392,2023-06-13,Colombia,Chrysal Grow X,2,Regulador de creci,49272.13,50767.2
SO-000393,2023-12-01,Ecuador,Chrysal Grow X,4,Regulador de creci,77176.37,52507.4
SO-000394,2024-06-30,Colombia,Chrysal Grow X,4,Insecticida,95109.51,51067.0
SO-000395,2024-10-18,Kenya,Chrysal Grow X,2,Insecticida,111845.56,50168.7
SO-000396,2025-03-08,Holanda,Chrysal Boost Z,4,Regulador de creci,98455.73,51126.2
SO-000397,2023-02-10,Holanda,Chrysal Flora F,1,Insecticida,336238.81,50053.7
SO-000398,2023-06-29,Holanda,Chrysal Boost Z,4,Fungicida,243573.7,50160.7
SO-000399,2023-09-13,Ecuador,Chrysal Protect Y,4,Nutricional,47872.79,50271.2
SO-000400,2023-10-11,Ecuador,Chrysal Root R,1,Insecticida,64673.69,50689.0
SO-000401,2025-06-29,Holanda,Chrysal Flora F,3,Insecticida,30000.0,51655.9
SO-000402,2024-12-09,Holanda,Chrysal Protect Y,1,Regulador de creci,112120.23,51404.9
SO-000403,2023-10-20,Colombia,Chrysal Flora F,4,Fertilizante,30000.0,51366.1
SO-000404,2025-06-05,Holanda,Chrysal Flora F,4,Insecticida,153127.02,50230.8
SO-000405,2024-03-31,Kenya,Chrysal Root R,3,Nutricional,116135.23,50621.1
SO-000406,2024-04-01,Colombia,Chrysal Grow X,4,Fertilizante,82376.45,51190.4
SO-000407,2024-01-31,Holanda,Chrysal Root R,1,Nutricional,315707.81,50560.2
SO-000408,2023-05-12,Ecuador,Chrysal Boost Z,2,Regulador de creci,150674.64,50805.1
SO-000409,2025-05-02,Colombia,Chrysal Flora F,2,Nutricional,79131.75,51309.0
SO-000410,2023-01-13,Holanda,Chrysal Root R,1,Regulador de creci,333833.71,50755.9
SO-000411,2023-06-08,Kenya,Chrysal Flora F,2,Regulador de creci,91985.74,51158.2
SO-000412,2023-07-29,Colombia,Chrysal Boost Z,2,Regulador de creci,68972.14,52114.9
SO-000413,2023-09-12,Colombia,Chrysal Grow X,2,Insecticida,58172.79,50879.7
SO-000414,2023-05-01,Colombia,Chrysal Root R,2,Fungicida,143650.25,51825.5
SO-000415,2023-01-17,Ecuador,Chrysal Protect Y,4,Regulador de creci,110096.18,51391.6
SO-000416,2024-09-10,Colombia,Chrysal Protect Y,2,Fungicida,104658.12,49972.9
SO-000417,2025-06-03,Colombia,Chrysal Boost Z,4,Regulador de creci,97288.68,50228.5
SO-000418,2023-04-22,Colombia,Chrysal Root R,2,Regulador de creci,49900.48,50416.5
SO-000419,2023-09-28,Colombia,Chrysal Protect Y,2,Fertilizante,118325.91,50401.6
SO-000420,2024-04-06,Kenya,Chrysal Grow X,2,Fungicida,54706.02,50936.8
SO-000421,2025-04-25,Colombia,Chrysal Flora F,2,Nutricional,88498.6,51430.3
SO-000422,2024-09-25,Kenya,Chrysal Grow X,2,Regulador de creci,30818.3,51878.6
SO-000423,2024-11-29,Kenya,Chrysal Grow X,2,Fungicida,30000.0,51215.7
SO-000424,2024-06-13,Ecuador,Chrysal Boost Z,1,Insecticida,89548.74,50688.0
SO-000425,2024-01-16,Colombia,Chrysal Boost Z,2,Fungicida,55727.02,49542.4
SO-000426,2023-07-02,Ecuador,Chrysal Boost Z,2,Insecticida,30000.0,51049.4
SO-000427,2025-02-27,Kenya,Chrysal Boost Z,2,Insecticida,96218.29,51018.0
SO-000428,2025-01-03,Colombia,Chrysal Flora F,4,Regulador de creci,143602.42,51128.1
SO-000429,2023-01-23,Ecuador,Chrysal Boost Z,2,Regulador de creci,121686.81,52474.4
SO-000430,2024-10-14,Ecuador,Chrysal Boost Z,4,Fungicida,72280.46,51868.4
SO-000431,2023-03-18,Holanda,Chrysal Boost Z,4,Fungicida,119190.72,51549.5
SO-000432,2024-11-04,Ecuador,Chrysal Grow X,4,Fungicida,106631.19,50326.5
SO-000433,2025-01-23,Holanda,Chrysal Boost Z,4,Regulador de creci,242799.4,50640.9
SO-000434,2023-04-30,Kenya,Chrysal Root R,1,Insecticida,69693.93,50933.6
SO-000435,2024-01-31,Ecuador,Chrysal Protect Y,2,Regulador de creci,81025.33,50457.2
SO-000436,2023-04-23,Holanda,Chrysal Grow X,1,Insecticida,30000.0,51350.3
SO-000437,2024-06-01,Ecuador,Chrysal Flora F,4,Fungicida,96616.29,51249.8
SO-000438,2025-04-25,Holanda,Chrysal Boost Z,2,Fertilizante,332872.9,50238.2
SO-000439,2023-03-15,Ecuador,Chrysal Flora F,2,Fungicida,76397.44,51837.8
SO-000440,2023-12-29,Kenya,Chrysal Boost Z,4,Fungicida,121394.97,51071.6
SO-000441,2025-06-06,Colombia,Chrysal Grow X,1,Fungicida,116285.62,49789.7
SO-000442,2023-10-02,Holanda,Chrysal Flora F,2,Fertilizante,139784.32,50964.1
SO-000443,2023-05-01,Holanda,Chrysal Protect Y,3,Nutricional,152138.35,51196.8
SO-000444,2024-03-21,Colombia,Chrysal Flora F,1,Nutricional,68406.63,51681.0
SO-000445,2024-04-08,Colombia,Chrysal Boost Z,2,Fertilizante,128689.2,50763.8
SO-000446,2024-08-27,Holanda,Chrysal Protect Y,4,Fungicida,156857.19,51579.6
SO-000447,2023-10-14,Colombia,Chrysal Flora F,1,Fertilizante,178130.78,51131.0
SO-000448,2025-05-21,Colombia,Chrysal Protect Y,2,Insecticida,44225.54,50079.5
SO-000449,2024-04-20,Kenya,Chrysal Root R,2,Nutricional,59319.64,50009.4
SO-000450,2023-09-19,Kenya,Chrysal Protect Y,3,Regulador de creci,92563.93,51785.8
SO-000451,2025-05-25,Kenya,Chrysal Protect Y,1,Insecticida,91917.02,51837.2
SO-000452,2025-04-23,Holanda,Chrysal Flora F,4,Fertilizante,30000.0,51226.0
SO-000453,2024-03-31,Ecuador,Chrysal Root R,4,Fungicida,59948.76,52047.0
SO-000454,2023-01-23,Kenya,Chrysal Boost Z,1,Fertilizante,107147.56,51739.6
SO-000455,2024-06-28,Colombia,Chrysal Flora F,2,Insecticida,114873.89,51478.5
SO-000456,2024-05-21,Colombia,Chrysal Boost Z,2,Nutricional,101139.43,50362.1
SO-000457,2023-05-16,Kenya,Chrysal Protect Y,3,Fertilizante,51170.11,52212.0
SO-000458,2024-08-01,Colombia,Chrysal Boost Z,2,Fungicida,122232.76,51375.4
SO-000459,2025-02-05,Kenya,Chrysal Root R,1,Fertilizante,116879.75,50729.9
SO-000460,2023-04-07,Ecuador,Chrysal Protect Y,1,Regulador de creci,97987.54,50532.2
SO-000461,2024-10-21,Colombia,Chrysal Grow X,4,Nutricional,86130.43,51179.7
SO-000462,2023-05-08,Colombia,Chrysal Grow X,2,Fungicida,86783.24,49830.3
SO-000463,2024-11-13,Ecuador,Chrysal Protect Y,4,Regulador de creci,77637.93,51489.8
SO-000464,2024-01-18,Kenya,Chrysal Protect Y,2,Nutricional,99223.55,50332.5
SO-000465,2023-01-06,Colombia,Chrysal Flora F,4,Regulador de creci,80934.05,51259.4
SO-000466,2025-05-31,Ecuador,Chrysal Root R,1,Fungicida,54544.25,50634.9
SO-000467,2023-06-01,Ecuador,Chrysal Grow X,1,Insecticida,48542.25,50814.9
SO-000468,2024-06-27,Kenya,Chrysal Flora F,4,Fertilizante,57438.91,50470.2
SO-000469,2023-06-15,Kenya,Chrysal Grow X,4,Fungicida,86663.97,50887.1
SO-000470,2025-04-30,Holanda,Chrysal Grow X,2,Nutricional,39659.84,52322.6
SO-000471,2024-11-04,Colombia,Chrysal Root R,2,Fertilizante,86460.31,51969.5
SO-000472,2025-01-03,Kenya,Chrysal Boost Z,2,Fungicida,95024.39,51248.1
SO-000473,2024-01-30,Holanda,Chrysal Flora F,2,Fungicida,30000.0,50982.3
SO-000474,2024-03-02,Kenya,Chrysal Protect Y,1,Nutricional,123969.81,51590.9
SO-000475,2024-08-01,Ecuador,Chrysal Protect Y,4,Fungicida,71968.68,51791.0
SO-000476,2024-12-16,Colombia,Chrysal Grow X,2,Regulador de creci,66997.19,50419.1
SO-000477,2025-02-11,Kenya,Chrysal Root R,3,Nutricional,94471.59,50945.8
SO-000478,2023-01-17,Colombia,Chrysal Boost Z,1,Regulador de creci,30000.0,49724.6
SO-000479,2024-08-28,Ecuador,Chrysal Grow X,1,Insecticida,56283.97,51786.2
SO-000480,2023-04-10,Holanda,Chrysal Root R,3,Nutricional,107037.21,52445.5
SO-000481,2023-09-20,Kenya,Chrysal Root R,2,Regulador de creci,30000.0,51056.1
SO-000482,2025-01-26,Kenya,Chrysal Grow X,3,Insecticida,113527.23,49512.5
SO-000483,2023-08-17,Holanda,Chrysal Boost Z,1,Regulador de creci,248803.8,51426.2
SO-000484,2024-12-27,Kenya,Chrysal Protect Y,4,Fertilizante,68916.34,50367.1
SO-000485,2024-02-27,Kenya,Chrysal Grow X,3,Nutricional,88754.38,50535.7
SO-000486,2023-08-01,Kenya,Chrysal Boost Z,4,Regulador de creci,113572.61,51438.6
SO-000487,2023-11-01,Ecuador,Chrysal Flora F,1,Insecticida,65996.32,51178.2
SO-000488,2024-04-29,Ecuador,Chrysal Protect Y,2,Fungicida,106033.27,50658.3
SO-000489,2024-11-28,Holanda,Chrysal Flora F,2,Insecticida,384817.43,50545.3
SO-000490,2024-07-06,Kenya,Chrysal Boost Z,2,Fungicida,65671.93,51088.1
SO-000491,2025-05-01,Colombia,Chrysal Flora F,2,Fertilizante,56019.91,50713.4
SO-000492,2025-03-02,Ecuador,Chrysal Root R,1,Insecticida,90279.42,50223.5
SO-000493,2024-11-18,Kenya,Chrysal Root R,2,Fertilizante,114739.07,50767.2
SO-000494,2024-07-04,Holanda,Chrysal Grow X,2,Fungicida,294646.35,51237.7
SO-000495,2023-09-22,Colombia,Chrysal Boost Z,2,Insecticida,41862.53,50875.3
SO-000496,2024-01-12,Ecuador,Chrysal Boost Z,1,Regulador de creci,47518.8,50010.5
SO-000497,2023-04-19,Holanda,Chrysal Root R,2,Insecticida,211754.72,51692.3
SO-000498,2023-12-08,Kenya,Chrysal Protect Y,3,Fertilizante,135323.49,49082.8
SO-000499,2025-04-24,Colombia,Chrysal Root R,2,Fertilizante,91811.75,50687.5
SO-000500,2024-01-24,Ecuador,Chrysal Root R,2,Fertilizante,68393.1,50565.9
SO-000501,2023-04-14,Colombia,Chrysal Grow X,2,Fungicida,102985.52,51103.7
SO-000502,2024-08-17,Colombia,Chrysal Boost Z,4,Fertilizante,72815.04,51393.2
SO-000503,2025-05-27,Ecuador,Chrysal Root R,2,Fungicida,68651.44,51788.7
SO-000504,2025-03-02,Ecuador,Chrysal Root R,2,Fertilizante,51246.23,50501.3
SO-000505,2023-09-07,Colombia,Chrysal Root R,4,Regulador de creci,122253.47,51410.6
SO-000506,2024-02-18,Holanda,Chrysal Protect Y,2,Insecticida,499272.67,51137.1
SO-000507,2024-04-29,Kenya,Chrysal Flora F,4,Fungicida,103935.78,49801.9
SO-000508,2023-08-15,Ecuador,Chrysal Boost Z,4,Fungicida,66087.65,52330.4
SO-000509,2023-09-03,Holanda,Chrysal Protect Y,1,Insecticida,202530.4,49992.9
SO-000510,2023-08-04,Kenya,Chrysal Flora F,2,Fertilizante,130769.45,51293.6
SO-000511,2025-06-26,Kenya,Chrysal Flora F,3,Fertilizante,58576.07,51273.0
SO-000512,2024-11-11,Kenya,Chrysal Protect Y,4,Fertilizante,59597.93,51192.9
SO-000513,2025-02-05,Ecuador,Chrysal Flora F,2,Fungicida,76088.17,50653.8
SO-000514,2025-01-14,Kenya,Chrysal Flora F,1,Regulador de creci,92415.42,51579.1
SO-000515,2025-05-24,Colombia,Chrysal Flora F,2,Insecticida,66744.33,49907.7
SO-000516,2023-04-07,Ecuador,Chrysal Boost Z,1,Regulador de creci,32784.23,50953.9
SO-000517,2025-03-15,Ecuador,Chrysal Grow X,4,Insecticida,54029.05,50605.3
SO-000518,2023-03-02,Ecuador,Chrysal Grow X,2,Insecticida,118440.02,50525.9
SO-000519,2024-03-09,Colombia,Chrysal Boost Z,3,Regulador de creci,82243.3,51300.1
SO-000520,2024-06-26,Colombia,Chrysal Boost Z,4,Fungicida,93532.62,51754.2
SO-000521,2023-11-23,Kenya,Chrysal Boost Z,3,Regulador de creci,72157.36,50759.7
SO-000522,2023-05-14,Colombia,Chrysal Boost Z,3,Nutricional,60215.07,51546.5
SO-000523,2023-06-25,Ecuador,Chrysal Boost Z,4,Fungicida,130327.08,51034.8
SO-000524,2025-01-22,Holanda,Chrysal Flora F,4,Fertilizante,387335.57,50375.1
SO-000525,2023-10-18,Kenya,Chrysal Grow X,4,Regulador de creci,66698.9,50819.4
SO-000526,2023-10-11,Ecuador,Chrysal Root R,1,Fertilizante,112884.27,50790.4
SO-000527,2025-04-22,Holanda,Chrysal Flora F,2,Nutricional,30000.0,50512.3
SO-000528,2023-05-12,Holanda,Chrysal Flora F,1,Nutricional,397889.04,51299.9
SO-000529,2025-04-14,Kenya,Chrysal Flora F,4,Nutricional,80307.4,51164.3
SO-000530,2025-04-19,Kenya,Chrysal Flora F,3,Fertilizante,80008.1,49886.5
SO-000531,2024-06-29,Holanda,Chrysal Flora F,2,Nutricional,30000.0,49843.9
SO-000532,2023-05-31,Kenya,Chrysal Root R,1,Insecticida,142750.07,51297.3
SO-000533,2023-05-23,Ecuador,Chrysal Boost Z,2,Fungicida,90087.45,50429.3
SO-000534,2023-09-17,Holanda,Chrysal Root R,3,Nutricional,143385.29,51211.4
SO-000535,2024-06-10,Colombia,Chrysal Protect Y,1,Fungicida,89788.97,51546.7
SO-000536,2023-05-21,Holanda,Chrysal Flora F,1,Insecticida,30000.0,50110.3
SO-000537,2024-02-20,Holanda,Chrysal Root R,4,Fungicida,51495.19,50011.9
SO-000538,2023-04-16,Colombia,Chrysal Boost Z,4,Regulador de creci,87378.42,52172.1
SO-000539,2024-05-07,Colombia,Chrysal Root R,1,Fungicida,79139.65,51246.1
SO-000540,2023-01-20,Kenya,Chrysal Grow X,2,Nutricional,78421.64,50706.5
SO-000541,2024-10-08,Holanda,Chrysal Grow X,4,Fertilizante,352570.91,50346.2
SO-000542,2023-02-20,Ecuador,Chrysal Grow X,3,Fertilizante,63737.58,50642.7
SO-000543,2023-06-27,Colombia,Chrysal Flora F,3,Insecticida,51569.41,50166.6
SO-000544,2023-06-09,Colombia,Chrysal Boost Z,2,Regulador de creci,170713.44,51618.4
SO-000545,2025-01-27,Ecuador,Chrysal Flora F,2,Regulador de creci,58524.28,50456.3
SO-000546,2023-02-18,Ecuador,Chrysal Protect Y,1,Regulador de creci,83004.29,51765.5
SO-000547,2024-01-27,Holanda,Chrysal Grow X,3,Nutricional,30000.0,50719.6
SO-000548,2024-06-23,Colombia,Chrysal Grow X,1,Insecticida,83494.05,50269.7
SO-000549,2024-04-15,Colombia,Chrysal Flora F,1,Fertilizante,52003.23,50701.6
SO-000550,2024-09-12,Kenya,Chrysal Root R,3,Fungicida,66725.81,49163.1
SO-000551,2025-01-02,Holanda,Chrysal Flora F,4,Fertilizante,157872.69,50915.5
SO-000552,2023-12-25,Holanda,Chrysal Grow X,4,Regulador de creci,30000.0,50880.9
SO-000553,2025-01-25,Colombia,Chrysal Protect Y,2,Insecticida,97052.29,51577.3
SO-000554,2023-10-18,Holanda,Chrysal Flora F,2,Nutricional,257236.03,49679.6
SO-000555,2025-06-16,Ecuador,Chrysal Root R,2,Fungicida,135106.86,51813.3
SO-000556,2024-04-05,Kenya,Chrysal Root R,2,Fertilizante,44243.56,51574.4
SO-000557,2024-11-02,Kenya,Chrysal Flora F,2,Regulador de creci,125856.82,51876.4
SO-000558,2025-03-09,Colombia,Chrysal Root R,2,Fungicida,110646.32,50963.1
SO-000559,2024-12-23,Holanda,Chrysal Boost Z,2,Fungicida,120853.53,51709.7
SO-000560,2025-02-15,Holanda,Chrysal Boost Z,4,Nutricional,30000.0,49970.1
SO-000561,2024-05-04,Ecuador,Chrysal Root R,4,Insecticida,84547.7,51499.1
SO-000562,2023-02-09,Ecuador,Chrysal Flora F,1,Fertilizante,65872.36,50460.2
SO-000563,2024-03-25,Ecuador,Chrysal Flora F,2,Nutricional,80871.19,49844.0
SO-000564,2023-06-15,Ecuador,Chrysal Root R,1,Nutricional,72503.83,50213.1
SO-000565,2025-03-21,Ecuador,Chrysal Flora F,2,Insecticida,30000.0,51003.9
SO-000566,2023-08-04,Ecuador,Chrysal Root R,2,Nutricional,113653.52,50423.0
SO-000567,2023-07-27,Colombia,Chrysal Grow X,1,Fertilizante,77566.79,51263.3
SO-000568,2023-08-16,Colombia,Chrysal Boost Z,4,Fungicida,65455.99,49734.2
SO-000569,2024-08-09,Holanda,Chrysal Flora F,2,Insecticida,103421.4,49511.0
SO-000570,2024-06-04,Kenya,Chrysal Grow X,4,Insecticida,90753.79,51960.7
SO-000571,2025-05-15,Colombia,Chrysal Root R,1,Regulador de creci,53187.31,51632.7
SO-000572,2024-01-15,Ecuador,Chrysal Boost Z,1,Nutricional,30000.0,50265.5
SO-000573,2023-09-15,Kenya,Chrysal Flora F,2,Regulador de creci,92213.89,50997.9
SO-000574,2023-02-14,Kenya,Chrysal Grow X,1,Regulador de creci,95573.09,51713.7
SO-000575,2023-01-07,Colombia,Chrysal Boost Z,2,Insecticida,74011.05,51293.4
SO-000576,2023-12-07,Holanda,Chrysal Protect Y,4,Fungicida,193638.06,51103.8
SO-000577,2025-04-24,Colombia,Chrysal Root R,1,Insecticida,82668.07,51766.6
SO-000578,2024-04-22,Ecuador,Chrysal Grow X,1,Fertilizante,36064.03,50488.5
SO-000579,2025-03-25,Kenya,Chrysal Grow X,2,Nutricional,49183.08,51021.8
SO-000580,2023-04-03,Kenya,Chrysal Boost Z,2,Insecticida,57479.06,50987.5
SO-000581,2023-03-27,Holanda,Chrysal Boost Z,2,Fertilizante,110415.38,50809.1
SO-000582,2025-01-30,Holanda,Chrysal Flora F,2,Fungicida,475623.9,50727.1
SO-000583,2023-04-08,Holanda,Chrysal Protect Y,4,Insecticida,30000.0,51051.0
SO-000584,2023-02-17,Ecuador,Chrysal Protect Y,1,Insecticida,138640.78,51024.1
SO-000585,2024-01-04,Ecuador,Chrysal Flora F,2,Fertilizante,90573.87,50266.1
SO-000586,2025-04-23,Colombia,Chrysal Boost Z,3,Nutricional,90169.84,51561.3
SO-000587,2024-09-20,Ecuador,Chrysal Boost Z,4,Nutricional,68908.98,50316.5
SO-000588,2023-04-01,Colombia,Chrysal Flora F,2,Fungicida,62108.85,50847.2
SO-000589,2025-02-02,Ecuador,Chrysal Root R,2,Fungicida,30000.0,50793.3
SO-000590,2025-02-08,Colombia,Chrysal Protect Y,1,Nutricional,109062.22,51250.7
