Sales_order_number,Product_reference,Waste_kg,Disposal_waste_cost
SO-000569,Chrysal Flora F,147.68,73.84
SO-000570,Chrysal Root R,1061.33,530.665
SO-000571,Chrysal Flora F,,403.345
SO-000572,Chrysal Protect Y,321.33,160.665
SO-000573,Chrysal Root R,1203.89,601.945
SO-000574,Chrysal Flora F,1118.33,559.165
SO-000575,Chrysal Root R,828.69,414.345
SO-000576,Chrysal Boost Z,1081.96,540.98
SO-000577,Chrysal Protect Y,468.27,234.135
SO-000578,Chrysal Flora F,1966.13,983.065
SO-000579,Chrysal Boost Z,2334.68,1167.34
SO-000580,Chrysal Boost Z,192.06,96.03
SO-000581,Chrysal Root R,54.78,27.39
SO-000582,Chrysal Boost Z,,403.345
SO-000583,Chrysal Protect Y,,403.345
SO-000584,Chrysal Protect Y,24.21,12.105
SO-000585,Chrysal Grow X,2363.43,1181.715
SO-000586,Chrysal Protect Y,,403.345
SO-000587,Chrysal Boost Z,225.74,112.87
SO-000588,Chrysal Protect Y,2161.09,1080.545
SO-000589,Chrysal Root R,182.12,91.06
SO-000590,Chrysal Grow X,2210.17,1105.085
SO-000591,Chrysal Boost Z,386.88,193.44
SO-000592,Chrysal Grow X,1129.09,564.545
SO-000593,Chrysal Boost Z,232.36,116.18
SO-000594,Chrysal Root R,876.01,438.005
SO-000595,Chrysal Grow X,361.71,180.855
SO-000596,Chrysal Flora F,,403.345
SO-000597,Chrysal Boost Z,1762.29,881.145
SO-000598,Chrysal Flora F,1261.17,630.585
SO-000599,Chrysal Grow X,,403.345
SO-000600,Chrysal Flora F,940.84,470.42
SO-000601,Chrysal Flora F,1321.84,660.92
SO-000602,Chrysal Grow X,1715.85,857.925
SO-000603,Chrysal Root R,582.91,291.455
SO-000604,Chrysal Flora F,1568.32,784.16
SO-000605,Chrysal Flora F,268.54,134.27
SO-000606,Chrysal Root R,1547.17,773.585
SO-000607,Chrysal Flora F,729.33,364.665
SO-000608,Chrysal Flora F,1782.79,891.395
SO-000609,Chrysal Flora F,812.29,406.145
SO-000610,Chrysal Protect Y,1410.38,705.19
SO-000611,Chrysal Root R,190.89,95.445
SO-000612,Chrysal Flora F,1050.07,525.035
SO-000613,Chrysal Root R,45.35,22.675
SO-000614,Chrysal Boost Z,342.8,171.4
SO-000615,Chrysal Boost Z,219.59,109.795
SO-000616,Chrysal Flora F,1009.53,504.765
SO-000617,Chrysal Root R,191.77,95.885
SO-000618,Chrysal Root R,117.2,58.6
SO-000619,Chrysal Root R,96.12,48.06
SO-000620,Chrysal Protect Y,627.59,313.795
SO-000621,Chrysal Boost Z,388.22,194.11
SO-000622,Chrysal Root R,155.05,77.525
SO-000623,Chrysal Root R,180.4,90.2
SO-000624,Chrysal Protect Y,801.14,400.57
SO-000625,Chrysal Protect Y,515.41,257.705
SO-000626,Chrysal Root R,1057.46,528.73
SO-000627,Chrysal Grow X,980.86,490.43
SO-000628,Chrysal Root R,242.15,121.075
SO-000629,Chrysal Root R,581.63,290.815
SO-000630,Chrysal Protect Y,,403.345
SO-000631,Chrysal Protect Y,851.67,425.835
SO-000632,Chrysal Root R,88.8,44.4
SO-000633,Chrysal Root R,1703.38,851.69
SO-000634,Chrysal Root R,1248.42,624.21
SO-000635,Chrysal Protect Y,907.1,453.55
SO-000636,Chrysal Root R,1981.78,990.89
SO-000637,Chrysal Root R,1032.77,516.385
SO-000638,Chrysal Flora F,431.35,215.675
SO-000639,Chrysal Grow X,1141.81,570.905
SO-000640,Chrysal Boost Z,502.39,251.195
SO-000641,Chrysal Grow X,691.47,345.735
SO-000642,Chrysal Flora F,,403.345
SO-000643,Chrysal Boost Z,645.52,322.76
SO-000644,Chrysal Root R,1088.78,544.39
SO-000645,Chrysal Flora F,282.03,141.015
SO-000646,Chrysal Root R,2204.67,1102.335
SO-000647,Chrysal Protect Y,303.26,151.63
SO-000648,Chrysal Flora F,235.88,117.94
SO-000649,Chrysal Protect Y,1669.64,834.82
SO-000650,Chrysal Flora F,731.0,365.5
SO-000651,Chrysal Flora F,561.81,280.905
SO-000652,Chrysal Protect Y,,403.345
SO-000653,Chrysal Boost Z,728.22,364.11
SO-000654,Chrysal Grow X,765.71,382.855
SO-000655,Chrysal Root R,537.65,268.825
SO-000656,Chrysal Flora F,1844.34,922.17
SO-000657,Chrysal Root R,,403.345
SO-000658,Chrysal Protect Y,661.99,330.995
SO-000659,Chrysal Root R,201.2,100.6
SO-000660,Chrysal Protect Y,848.49,424.245
SO-000661,Chrysal Root R,914.52,457.26
SO-000662,Chrysal Grow X,956.36,478.18
SO-000663,Chrysal Grow X,1652.66,826.33
SO-000664,Chrysal Grow X,1806.8,903.4
SO-000665,Chrysal Grow X,632.98,316.49
SO-000666,Chrysal Grow X,497.84,248.92
SO-000667,Chrysal Grow X,684.97,342.485
SO-000668,Chrysal Protect Y,2156.5,1078.25
SO-000669,Chrysal Flora F,360.52,180.26
SO-000670,Chrysal Root R,371.16,185.58
SO-000671,Chrysal Grow X,815.72,407.86
SO-000672,Chrysal Protect Y,411.81,205.905
SO-000673,Chrysal Protect Y,57.78,28.89
SO-000674,Chrysal Protect Y,1400.51,700.255
SO-000675,Chrysal Flora F,919.13,459.565
SO-000676,Chrysal Root R,502.63,251.315
SO-000677,Chrysal Flora F,,403.345
SO-000678,Chrysal Boost Z,1028.97,514.485
SO-000679,Chrysal Protect Y,2737.92,1368.96
SO-000680,Chrysal Boost Z,464.52,232.26
SO-000681,Chrysal Grow X,57.58,28.79
SO-000682,Chrysal Grow X,754.19,377.095
SO-000683,Chrysal Flora F,392.94,196.47
SO-000684,Chrysal Root R,742.38,371.19
SO-000685,Chrysal Boost Z,1874.38,937.19
SO-000686,Chrysal Root R,636.29,318.145
SO-000687,Chrysal Flora F,261.56,130.78
SO-000688,Chrysal Grow X,879.62,439.81
SO-000689,Chrysal Root R,249.99,124.995
SO-000690,Chrysal Root R,373.95,186.975
SO-000691,Chrysal Grow X,1640.93,820.465
SO-000692,Chrysal Boost Z,1098.6,549.3
SO-000693,Chrysal Grow X,2175.43,1087.715
SO-000694,Chrysal Root R,326.28,163.14
SO-000695,Chrysal Boost Z,303.0,151.5
SO-000696,Chrysal Boost Z,605.26,302.63
SO-000697,Chrysal Grow X,669.3,334.65
SO-000698,Chrysal Root R,846.95,423.475
SO-000699,Chrysal Flora F,2069.15,1034.575
SO-000700,Chrysal Root R,1565.2,782.6
