Year,Month,Country,Product_Reference,Category,Marketing_Campaign_Type,Sales_Units,Marketing_Investment_USD,Sales_Revenue_USD,Production_Cost_USD,Gross_Margin_USD,Marketing_ROI,Waste_Generated_kg
2022,Enero,Colombia,Chrysal Boost Z,Insecticida,Social Media,21266,6751.0,107203.12,62592.84,44610.29,15.88,1356.77
2024,Enero,Kenya,Chrysal Root R,Fungicida,Social Media,31006,6751.0,153903.13,76375.35,77527.78,22.8,1285.67
2024,Enero,Ecuador,Chrysal Grow X,Insecticida,Social Media,20424,,94402.38,47079.81,47322.57,,486.79
2022,Mayo,Colombia,Chrysal Grow X,Regulador de crecimiento,E-mail Marketing,27364,,118619.05,60639.18,57979.87,,669.33
2024,Abril,Ecuador,Chrysal Boost Z,Regulador de crecimiento,Field Campaign,23212,,92322.68,42721.12,49601.57,,624.91
2024,Mayo,Kenya,Chrysal Flora F,Regulador de crecimiento,Influencers Agrícolas,28790,,178360.45,86580.7,91779.75,,2078.09
2022,Abril,Holanda,Chrysal Protect Y,Nutricional,Influencers Agrícolas,13956,,68853.2,31054.72,37798.49,,674.54
2025,Mayo,Holanda,Chrysal Flora F,Fertilizante,E-mail Marketing,23864,,,66145.12,56554.45,,1498.01
2022,Mayo,Colombia,Chrysal Root R,Regulador de crecimiento,Influencers Agrícolas,26511,6751.0,166376.24,77672.93,88703.31,24.64,1155.21
2025,Marzo,Ecuador,Chrysal Protect Y,Fungicida,Social Media,30906,,182221.29,106878.35,75342.94,,1097.86
2024,Mayo,Ecuador,Chrysal Boost Z,Regulador de crecimiento,Field Campaign,17389,,72205.27,35895.02,36310.26,,710.02
2024,Febrero,Colombia,Chrysal Boost Z,Nutricional,Influencers Agrícolas,24536,,130694.29,83476.38,47217.91,,1659.88
2024,Marzo,Holanda,Chrysal Protect Y,Fungicida,Field Campaign,21775,,108746.12,67884.8,40861.32,,1252.34
2023,Mayo,Kenya,Chrysal Grow X,Nutricional,Social Media,8014,6751.0,47703.09,24227.84,23475.26,7.07,611.13
2025,Enero,Colombia,Chrysal Protect Y,Fungicida,Influencers Agrícolas,31381,6751.0,180611.08,109566.47,71044.62,26.75,1907.41
2023,Febrero,Kenya,Chrysal Root R,Insecticida,E-mail Marketing,20995,,118917.68,72616.96,46300.72,,1138.16
2023,Febrero,Holanda,Chrysal Grow X,Fertilizante,Field Campaign,27927,6751.0,131800.67,85316.24,46484.43,19.52,1581.0
2022,Febrero,Ecuador,Chrysal Boost Z,Fertilizante,Social Media,5941,6751.0,35487.98,20212.82,15275.16,5.26,454.74
2023,Marzo,Holanda,Chrysal Protect Y,Nutricional,Field Campaign,29684,,116998.19,54567.16,62431.04,,1997.5
2022,Mayo,Colombia,Chrysal Flora F,Fertilizante,Influencers Agrícolas,25685,,108672.91,62961.54,45711.36,,550.75
2022,Mayo,Ecuador,Chrysal Flora F,Nutricional,Influencers Agrícolas,3508,,16509.29,9492.77,7016.51,,182.59
2023,Enero,Colombia,Chrysal Root R,Nutricional,E-mail Marketing,19175,,76841.51,44389.05,32452.47,,1175.43
2025,Enero,Colombia,Chrysal Flora F,Nutricional,Social Media,15888,,70455.09,36032.79,34422.3,,1031.48
2025,Febrero,Holanda,Chrysal Protect Y,Fertilizante,Social Media,10814,6751.0,65331.78,40632.18,24699.6,9.68,354.58
2025,Enero,Colombia,Chrysal Protect Y,Nutricional,E-mail Marketing,4073,,25905.42,16628.54,9276.87,,293.38
2025,Marzo,Holanda,Chrysal Flora F,Fertilizante,E-mail Marketing,31681,,146443.09,72275.89,74167.2,,2450.54
2025,Mayo,Ecuador,Chrysal Protect Y,Nutricional,Social Media,32286,,145745.22,68154.9,77590.32,,1104.28
2023,Febrero,Holanda,Chrysal Root R,Regulador de crecimiento,Field Campaign,13341,6751.0,60777.73,29714.66,31063.07,9.0,973.32
2023,Enero,Ecuador,Chrysal Grow X,Nutricional,Field Campaign,9512,,43278.09,26577.53,16700.56,,245.59
2024,Marzo,Holanda,Chrysal Root R,Fungicida,E-mail Marketing,9968,,38845.41,22737.34,16108.07,,232.68
2025,Marzo,Kenya,Chrysal Root R,Nutricional,Field Campaign,4351,,,15828.78,11594.16,,120.76
2023,Enero,Kenya,Chrysal Protect Y,Insecticida,Social Media,13097,6751.0,57325.37,30403.01,26922.37,8.49,307.31
2024,Mayo,Colombia,Chrysal Grow X,Nutricional,Influencers Agrícolas,27928,,137797.06,77933.28,59863.78,,1974.53
2025,Enero,Holanda,Chrysal Protect Y,Fungicida,Influencers Agrícolas,3632,,13896.59,7109.15,6787.45,,85.51
2022,Febrero,Holanda,Chrysal Boost Z,Fungicida,Field Campaign,29283,,179108.85,97693.13,81415.71,,1062.97
2024,Enero,Ecuador,Chrysal Protect Y,Fertilizante,E-mail Marketing,22863,6751.0,132013.82,80345.27,51668.54,19.55,599.59
2023,Marzo,Colombia,Chrysal Protect Y,Regulador de crecimiento,E-mail Marketing,23763,,151043.36,97611.52,53431.84,,896.47
2022,Enero,Holanda,Chrysal Protect Y,Nutricional,E-mail Marketing,14222,,,53502.2,30554.97,,
2022,Mayo,Colombia,Chrysal Grow X,Fertilizante,E-mail Marketing,33720,,156697.1,99780.51,56916.59,,2025.9
2022,Abril,Kenya,Chrysal Protect Y,Regulador de crecimiento,E-mail Marketing,11956,6751.0,53434.45,28344.02,25090.43,7.92,334.76
2024,Enero,Holanda,Chrysal Grow X,Nutricional,Field Campaign,11908,,67683.1,36803.22,30879.87,,846.79
2023,Mayo,Holanda,Chrysal Flora F,Insecticida,Influencers Agrícolas,32645,,156144.45,92301.21,63843.24,,2253.53
2022,Mayo,Colombia,Chrysal Boost Z,Nutricional,Influencers Agrícolas,3600,,,12170.82,7012.79,,74.95
2025,Marzo,Holanda,Chrysal Grow X,Fungicida,Field Campaign,3410,6751.0,13015.61,6226.65,6788.96,1.93,251.47
2022,Mayo,Colombia,Chrysal Flora F,Fungicida,E-mail Marketing,12867,6751.0,51044.56,26076.03,24968.53,7.56,279.69
2022,Mayo,Holanda,Chrysal Grow X,Insecticida,Field Campaign,34672,,181871.75,86907.3,94964.45,,1191.98
2024,Mayo,Ecuador,Chrysal Grow X,Fertilizante,Influencers Agrícolas,11528,6751.0,61425.72,35160.19,26265.53,9.1,252.96
2024,Mayo,Colombia,Chrysal Boost Z,Regulador de crecimiento,Social Media,30366,6751.0,177001.07,90493.6,86507.47,26.22,1219.21
2023,Febrero,Holanda,Chrysal Root R,Nutricional,Field Campaign,30583,6751.0,127112.32,65491.01,61621.31,18.83,1554.59
2025,Febrero,Kenya,Chrysal Root R,Fungicida,E-mail Marketing,21383,,110883.56,51470.29,59413.28,,1449.74
2024,Marzo,Holanda,Chrysal Grow X,Fertilizante,Influencers Agrícolas,21038,,90989.53,47310.85,43678.69,,847.39
2022,Enero,Kenya,Chrysal Protect Y,Insecticida,Influencers Agrícolas,8063,6751.0,32668.29,20335.99,12332.3,4.84,502.56
2023,Mayo,Kenya,Chrysal Flora F,Fungicida,Influencers Agrícolas,2714,6751.0,,6615.52,6705.71,1.97,84.81
2022,Enero,Ecuador,Chrysal Protect Y,Insecticida,Influencers Agrícolas,24549,6751.0,104112.53,61326.18,42786.35,15.42,1596.57
2022,Enero,Colombia,Chrysal Protect Y,Nutricional,E-mail Marketing,20256,,89102.32,51316.31,37786.01,,691.94
2024,Marzo,Holanda,Chrysal Grow X,Regulador de crecimiento,Social Media,26382,,122871.46,76511.68,46359.78,,754.86
2023,Mayo,Ecuador,Chrysal Grow X,Fungicida,Influencers Agrícolas,1206,6751.0,5427.42,2585.94,2841.48,0.8,37.54
2025,Mayo,Holanda,Chrysal Grow X,Fungicida,Field Campaign,14489,6751.0,58484.8,37752.99,20731.81,8.66,448.05
2025,Abril,Kenya,Chrysal Grow X,Nutricional,Social Media,33734,6751.0,136378.93,77262.17,59116.76,20.2,1712.73
2024,Enero,Colombia,Chrysal Root R,Fertilizante,Influencers Agrícolas,34076,6751.0,147268.75,95591.39,51677.37,21.81,2408.76
2024,Enero,Holanda,Chrysal Grow X,Regulador de crecimiento,Social Media,20673,,81379.47,51456.48,29922.99,,512.2
2023,Febrero,Holanda,Chrysal Root R,Fungicida,Field Campaign,13850,6751.0,76056.36,37594.92,38461.44,11.27,864.48
2025,Abril,Kenya,Chrysal Root R,Regulador de crecimiento,Influencers Agrícolas,1480,,6772.16,3123.54,3648.62,,87.71
2025,Febrero,Holanda,Chrysal Grow X,Fungicida,Field Campaign,19708,6751.0,89776.13,44989.32,44786.81,13.3,1425.9
2025,Febrero,Holanda,Chrysal Boost Z,Regulador de crecimiento,E-mail Marketing,19304,6751.0,90659.22,50362.35,40296.87,13.43,668.86
2022,Febrero,Kenya,Chrysal Flora F,Insecticida,Influencers Agrícolas,22444,6751.0,125451.86,60758.75,64693.11,18.58,1055.02
2025,Marzo,Ecuador,Chrysal Protect Y,Fungicida,Influencers Agrícolas,2163,6751.0,13303.99,6432.37,6871.62,1.97,163.41
2022,Marzo,Kenya,Chrysal Root R,Regulador de crecimiento,Influencers Agrícolas,2338,6751.0,13676.21,7419.6,6256.61,2.03,139.34
2023,Febrero,Ecuador,Chrysal Flora F,Fertilizante,Influencers Agrícolas,26475,,152610.61,69690.18,82920.43,,1147.06
2022,Abril,Colombia,Chrysal Boost Z,Insecticida,E-mail Marketing,19087,6751.0,97493.65,46248.81,51244.85,14.44,532.24
2023,Enero,Ecuador,Chrysal Protect Y,Insecticida,Influencers Agrícolas,974,6751.0,5525.77,2946.19,2579.58,0.82,34.82
2025,Abril,Ecuador,Chrysal Protect Y,Fertilizante,Social Media,27532,6751.0,145711.96,67410.14,78301.82,21.58,1510.76
2025,Mayo,Colombia,Chrysal Root R,Regulador de crecimiento,Influencers Agrícolas,12912,,56604.61,29963.71,26640.9,,814.62
2023,Marzo,Ecuador,Chrysal Grow X,Nutricional,E-mail Marketing,10489,,45765.49,24933.09,20832.39,,288.08
2024,Enero,Kenya,Chrysal Boost Z,Fertilizante,Influencers Agrícolas,20355,,93638.26,50588.38,43049.88,,1139.39
2023,Enero,Ecuador,Chrysal Root R,Regulador de crecimiento,Social Media,34719,,217312.03,135566.84,81745.18,,1840.84
2024,Mayo,Colombia,Chrysal Boost Z,Fertilizante,E-mail Marketing,8419,6751.0,44435.65,24706.78,19728.87,6.58,428.0
2022,Mayo,Kenya,Chrysal Grow X,Fertilizante,E-mail Marketing,6833,6751.0,39505.29,21474.92,18030.37,5.85,419.6
2022,Febrero,Colombia,Chrysal Grow X,Fungicida,Social Media,5746,6751.0,27211.38,14480.32,12731.07,4.03,403.64
2022,Marzo,Colombia,Chrysal Root R,Regulador de crecimiento,Social Media,25418,,124569.36,76426.38,48142.98,,1000.95
2025,Marzo,Holanda,Chrysal Grow X,Nutricional,Social Media,19719,6751.0,,51338.32,30279.16,12.09,1446.21
2022,Abril,Holanda,Chrysal Flora F,Fungicida,Social Media,4973,6751.0,21197.39,13156.13,8041.26,3.14,147.39
2024,Febrero,Colombia,Chrysal Protect Y,Fertilizante,Social Media,27200,,164121.07,95963.12,68157.95,,826.37
2022,Febrero,Colombia,Chrysal Root R,Fertilizante,E-mail Marketing,5569,,29956.01,14303.17,15652.84,,200.52
2023,Febrero,Colombia,Chrysal Boost Z,Fertilizante,E-mail Marketing,15011,,70721.89,35741.0,34980.89,,407.88
2023,Febrero,Holanda,Chrysal Flora F,Regulador de crecimiento,Influencers Agrícolas,24055,6751.0,143552.98,65921.34,77631.64,21.26,813.52
2025,Marzo,Holanda,Chrysal Root R,Regulador de crecimiento,Influencers Agrícolas,28762,6751.0,,81708.81,46730.88,19.03,758.88
2023,Marzo,Ecuador,Chrysal Grow X,Fungicida,Field Campaign,20156,,129709.67,75511.74,54197.93,,1396.91
2024,Febrero,Ecuador,Chrysal Grow X,Nutricional,Influencers Agrícolas,21106,6751.0,,59838.95,40013.69,14.79,
2022,Abril,Colombia,Chrysal Grow X,Fungicida,Influencers Agrícolas,5797,,27308.16,13990.36,13317.8,,375.87
2025,Enero,Kenya,Chrysal Grow X,Insecticida,Social Media,18176,,84375.94,52239.73,32136.2,,415.77
2022,Enero,Kenya,Chrysal Boost Z,Fertilizante,Social Media,11378,6751.0,46987.74,23584.12,23403.62,6.96,875.1
2022,Abril,Holanda,Chrysal Flora F,Fertilizante,Influencers Agrícolas,19424,,79639.77,35864.08,43775.69,,1217.29
2024,Febrero,Holanda,Chrysal Protect Y,Fertilizante,Field Campaign,1189,,6598.81,3466.24,3132.57,,24.26
2023,Marzo,Holanda,Chrysal Boost Z,Fungicida,Social Media,34567,,213030.15,120181.45,92848.7,,2275.59
2023,Enero,Colombia,Chrysal Boost Z,Fungicida,Influencers Agrícolas,2655,6751.0,15755.85,8598.61,7157.24,2.33,134.99
2022,Mayo,Kenya,Chrysal Protect Y,Fertilizante,Influencers Agrícolas,14594,,61017.38,37978.14,23039.23,,974.32
2025,Mayo,Ecuador,Chrysal Protect Y,Fungicida,E-mail Marketing,5786,,30509.99,14372.68,16137.31,,297.11
2023,Abril,Colombia,Chrysal Grow X,Regulador de crecimiento,Field Campaign,33098,,,75820.18,59388.37,,1934.96
2025,Febrero,Ecuador,Chrysal Boost Z,Regulador de crecimiento,E-mail Marketing,2281,,8946.76,4943.94,4002.82,,153.24
2023,Enero,Ecuador,Chrysal Root R,Fungicida,Field Campaign,4531,,25247.83,12782.43,12465.39,,200.75
2025,Febrero,Colombia,Chrysal Protect Y,Fertilizante,Social Media,17635,,92494.01,56832.54,35661.47,,355.57
2024,Enero,Ecuador,Chrysal Protect Y,Fungicida,Field Campaign,28598,,115005.83,69069.02,45936.81,,2030.37
2025,Abril,Kenya,Chrysal Flora F,Fungicida,Influencers Agrícolas,26913,6751.0,104808.26,62525.66,42282.61,15.52,1153.31
2024,Abril,Ecuador,Chrysal Root R,Fungicida,Influencers Agrícolas,20277,6751.0,131239.69,82056.1,49183.58,19.44,1009.04
2024,Mayo,Kenya,Chrysal Root R,Insecticida,Field Campaign,18066,,70115.19,41687.47,28427.72,,369.74
2025,Febrero,Kenya,Chrysal Protect Y,Regulador de crecimiento,Field Campaign,21592,6751.0,107964.89,53590.34,54374.54,15.99,1069.36
2024,Mayo,Kenya,Chrysal Grow X,Nutricional,Field Campaign,21252,6751.0,109712.84,64852.64,44860.2,16.25,1682.93
2022,Febrero,Holanda,Chrysal Flora F,Nutricional,E-mail Marketing,12689,,52236.25,26720.96,25515.29,,465.64
2024,Mayo,Ecuador,Chrysal Root R,Insecticida,Field Campaign,25135,6751.0,106986.29,53325.71,53660.59,15.85,1099.03
2023,Marzo,Colombia,Chrysal Protect Y,Fungicida,Social Media,12054,,57254.98,26600.7,30654.27,,738.08
2025,Marzo,Colombia,Chrysal Root R,Insecticida,E-mail Marketing,21874,,,76710.38,51395.24,,1506.85
2022,Marzo,Ecuador,Chrysal Flora F,Insecticida,E-mail Marketing,12242,,,37474.66,25805.73,,551.42
2025,Marzo,Holanda,Chrysal Flora F,Fertilizante,Field Campaign,16999,,93874.17,46646.07,47228.11,,655.82
2023,Enero,Holanda,Chrysal Boost Z,Regulador de crecimiento,Social Media,8091,,52267.63,31354.09,20913.54,,617.1
2023,Marzo,Kenya,Chrysal Protect Y,Nutricional,E-mail Marketing,912,6751.0,5356.74,3393.86,1962.88,0.79,55.29
2023,Abril,Ecuador,Chrysal Flora F,Fungicida,Influencers Agrícolas,22315,,110967.5,52332.91,58634.58,,605.66
2024,Abril,Ecuador,Chrysal Boost Z,Nutricional,E-mail Marketing,20381,6751.0,102014.92,50653.19,51361.72,15.11,491.91
2024,Enero,Colombia,Chrysal Boost Z,Nutricional,Field Campaign,27300,,149349.69,89617.6,59732.09,,1338.05
2025,Marzo,Ecuador,Chrysal Root R,Regulador de crecimiento,Social Media,32826,,183710.25,92755.55,90954.7,,1090.0
2025,Marzo,Holanda,Chrysal Root R,Nutricional,Field Campaign,17323,,89246.7,51310.86,37935.85,,610.45
2022,Marzo,Ecuador,Chrysal Boost Z,Nutricional,Influencers Agrícolas,2224,6751.0,12323.46,5745.6,6577.86,1.83,161.6
2022,Mayo,Colombia,Chrysal Root R,Insecticida,Influencers Agrícolas,20352,,78630.72,42495.23,36135.49,,516.41
2025,Febrero,Kenya,Chrysal Flora F,Regulador de crecimiento,Influencers Agrícolas,11608,,57575.47,34419.67,23155.8,,730.4
2024,Mayo,Colombia,Chrysal Grow X,Fertilizante,Field Campaign,7789,,35464.35,20828.31,14636.04,,282.5
2023,Febrero,Colombia,Chrysal Flora F,Fungicida,E-mail Marketing,24420,,101312.99,62106.32,39206.67,,1602.43
2025,Marzo,Kenya,Chrysal Boost Z,Nutricional,Field Campaign,1687,6751.0,6864.02,4293.38,2570.64,1.02,106.86
2022,Marzo,Colombia,Chrysal Boost Z,Fungicida,Social Media,32602,,176983.83,107010.92,69972.91,,666.5
2024,Mayo,Colombia,Chrysal Flora F,Fertilizante,E-mail Marketing,20288,6751.0,105775.98,61806.76,43969.22,15.67,1025.52
2025,Mayo,Ecuador,Chrysal Root R,Fungicida,Influencers Agrícolas,30813,,,63060.58,75125.77,,
2025,Febrero,Ecuador,Chrysal Root R,Fertilizante,Field Campaign,17202,6751.0,87241.06,48592.69,38648.37,12.92,1238.09
2024,Abril,Kenya,Chrysal Boost Z,Insecticida,Influencers Agrícolas,22005,6751.0,112864.24,51639.86,61224.39,16.72,1590.85
2025,Febrero,Ecuador,Chrysal Protect Y,Nutricional,Influencers Agrícolas,26849,,116162.85,71046.77,45116.08,,1210.91
2024,Mayo,Ecuador,Chrysal Root R,Fertilizante,Social Media,13053,,72583.18,37318.27,35264.91,,609.1
2023,Mayo,Colombia,Chrysal Flora F,Fungicida,E-mail Marketing,19790,6751.0,116928.86,65770.83,51158.03,17.32,755.92
2024,Enero,Holanda,Chrysal Root R,Nutricional,Social Media,8646,,51330.88,25967.73,25363.15,,544.67
2024,Mayo,Ecuador,Chrysal Flora F,Insecticida,Social Media,25827,,140154.57,85003.75,55150.82,,1072.33
2024,Enero,Holanda,Chrysal Boost Z,Nutricional,Social Media,4565,,23653.2,14837.67,8815.54,,164.65
2025,Abril,Ecuador,Chrysal Root R,Fertilizante,Influencers Agrícolas,16750,6751.0,66409.05,35178.77,31230.28,9.84,769.39
2025,Febrero,Ecuador,Chrysal Flora F,Insecticida,Social Media,10541,,48247.68,30038.26,18209.42,,268.68
2024,Febrero,Kenya,Chrysal Boost Z,Fungicida,Social Media,23542,,95388.25,48019.88,47368.37,,1525.43
2025,Enero,Kenya,Chrysal Protect Y,Insecticida,E-mail Marketing,25503,,163278.43,90935.01,72343.42,,529.33
2022,Febrero,Kenya,Chrysal Flora F,Insecticida,E-mail Marketing,23731,6751.0,98832.88,61449.57,37383.31,14.64,1392.28
2022,Mayo,Holanda,Chrysal Protect Y,Regulador de crecimiento,Social Media,24380,,102634.77,52875.0,49759.77,,755.09
2025,Marzo,Colombia,Chrysal Protect Y,Insecticida,E-mail Marketing,15966,6751.0,99018.85,63452.11,35566.73,14.67,541.95
2025,Enero,Ecuador,Chrysal Grow X,Insecticida,E-mail Marketing,30040,,190712.14,90469.24,100242.89,,1746.46
2024,Febrero,Ecuador,Chrysal Root R,Nutricional,Social Media,26791,6751.0,157202.58,71315.74,85886.84,23.29,2131.94
2023,Enero,Ecuador,Chrysal Flora F,Fungicida,Influencers Agrícolas,33769,,128815.0,81259.99,47555.01,,2251.14
2025,Enero,Holanda,Chrysal Protect Y,Nutricional,Social Media,11361,,43213.1,20039.2,23173.9,,381.17
2022,Marzo,Kenya,Chrysal Grow X,Nutricional,E-mail Marketing,17701,6751.0,85334.26,55328.84,30005.42,12.64,540.97
2024,Mayo,Colombia,Chrysal Boost Z,Fertilizante,Influencers Agrícolas,30820,6751.0,129048.5,82627.09,46421.41,19.12,2218.24
2025,Enero,Holanda,Chrysal Flora F,Nutricional,Field Campaign,26717,6751.0,102850.9,49101.45,53749.45,15.23,1246.38
2022,Febrero,Kenya,Chrysal Protect Y,Regulador de crecimiento,Influencers Agrícolas,2788,,14087.71,7854.14,6233.57,,78.69
2022,Abril,Holanda,Chrysal Root R,Regulador de crecimiento,E-mail Marketing,15056,,,46531.03,49018.36,,1080.01
2023,Enero,Colombia,Chrysal Grow X,Fertilizante,Influencers Agrícolas,22992,,107471.8,57565.23,49906.57,,1585.66
2024,Enero,Kenya,Chrysal Protect Y,Fungicida,Social Media,29030,,162134.87,74952.52,87182.35,,2294.37
2024,Marzo,Holanda,Chrysal Root R,Fungicida,Field Campaign,23425,6751.0,130267.26,64454.27,65812.98,19.3,1747.14
2023,Mayo,Colombia,Chrysal Protect Y,Nutricional,Field Campaign,32888,,147269.71,76971.19,70298.52,,2338.58
2023,Abril,Ecuador,Chrysal Flora F,Nutricional,Field Campaign,14914,,82864.39,44558.63,38305.76,,345.33
2024,Febrero,Colombia,Chrysal Flora F,Nutricional,E-mail Marketing,6555,,28666.99,18504.52,10162.47,,172.17
2024,Abril,Ecuador,Chrysal Flora F,Fungicida,E-mail Marketing,11625,,48004.51,29358.27,18646.24,,629.37
2025,Febrero,Holanda,Chrysal Grow X,Insecticida,Field Campaign,23493,,133762.91,79920.93,53841.98,,1219.02
2025,Mayo,Kenya,Chrysal Flora F,Regulador de crecimiento,Influencers Agrícolas,4917,,20190.63,11254.42,8936.21,,233.45
2023,Febrero,Kenya,Chrysal Root R,Insecticida,Field Campaign,25529,,165725.46,102418.26,63307.2,,1118.36
2025,Marzo,Holanda,Chrysal Protect Y,Insecticida,Influencers Agrícolas,32982,6751.0,141668.29,73364.99,68303.3,20.98,1512.97
2022,Marzo,Kenya,Chrysal Boost Z,Fungicida,Influencers Agrícolas,29690,,160450.19,94951.19,65499.01,,1607.95
2025,Marzo,Kenya,Chrysal Root R,Insecticida,E-mail Marketing,30140,,148008.84,96021.74,51987.1,,606.56
2025,Marzo,Ecuador,Chrysal Root R,Fertilizante,Influencers Agrícolas,2318,,9599.4,4923.78,4675.62,,82.62
2022,Abril,Holanda,Chrysal Flora F,Nutricional,Field Campaign,31749,,123033.04,71950.16,51082.89,,1622.27
2023,Mayo,Colombia,Chrysal Grow X,Fertilizante,E-mail Marketing,23347,6751.0,127973.71,79198.19,48775.52,18.96,1478.63
2022,Febrero,Ecuador,Chrysal Protect Y,Regulador de crecimiento,Social Media,17146,6751.0,102503.0,64900.95,37602.04,15.18,522.09
2025,Febrero,Holanda,Chrysal Grow X,Nutricional,Social Media,3400,6751.0,20649.7,12257.39,8392.32,3.06,179.56
2023,Marzo,Ecuador,Chrysal Protect Y,Insecticida,E-mail Marketing,30067,6751.0,153441.71,77752.23,75689.49,22.73,1890.24
2025,Marzo,Colombia,Chrysal Protect Y,Regulador de crecimiento,Field Campaign,27790,6751.0,163936.82,84469.5,79467.32,24.28,1297.17
2022,Enero,Colombia,Chrysal Grow X,Nutricional,Social Media,16993,6751.0,95444.37,43346.21,52098.15,14.14,367.47
2022,Mayo,Holanda,Chrysal Root R,Insecticida,Social Media,30909,,177896.35,107125.13,70771.23,,1451.37
2025,Abril,Colombia,Chrysal Protect Y,Fertilizante,Influencers Agrícolas,20033,6751.0,102769.64,47124.8,55644.83,15.22,756.98
2024,Febrero,Ecuador,Chrysal Grow X,Nutricional,Influencers Agrícolas,16994,6751.0,93640.54,58331.54,35308.99,13.87,1287.79
2024,Enero,Colombia,Chrysal Protect Y,Insecticida,Field Campaign,2106,,12583.18,5961.06,6622.12,,57.87
2022,Enero,Ecuador,Chrysal Boost Z,Fertilizante,E-mail Marketing,4649,6751.0,22660.56,10976.22,11684.35,3.36,274.98
2022,Febrero,Ecuador,Chrysal Root R,Regulador de crecimiento,Field Campaign,13160,,78646.04,42886.1,35759.94,,304.83
2024,Abril,Colombia,Chrysal Flora F,Regulador de crecimiento,E-mail Marketing,30031,,162120.72,96879.46,65241.25,,1404.56
2024,Enero,Holanda,Chrysal Protect Y,Regulador de crecimiento,Social Media,19489,6751.0,82787.96,39556.12,43231.84,12.26,1037.57
2025,Enero,Kenya,Chrysal Boost Z,Regulador de crecimiento,Influencers Agrícolas,29884,,115550.89,62168.02,53382.87,,1131.93
2025,Mayo,Colombia,Chrysal Flora F,Fungicida,Field Campaign,10080,6751.0,48176.7,26331.95,21844.75,7.14,476.83
2024,Abril,Ecuador,Chrysal Flora F,Nutricional,Field Campaign,3442,6751.0,18160.27,8943.15,9217.11,2.69,102.62
2025,Enero,Ecuador,Chrysal Protect Y,Nutricional,E-mail Marketing,15096,,91595.21,43334.76,48260.44,,577.38
2025,Abril,Colombia,Chrysal Grow X,Fungicida,E-mail Marketing,16238,,67293.7,41539.34,25754.36,,929.89
2023,Febrero,Holanda,Chrysal Protect Y,Insecticida,Field Campaign,3794,6751.0,22614.35,12449.05,10165.31,3.35,144.58
2025,Marzo,Holanda,Chrysal Boost Z,Insecticida,E-mail Marketing,34839,,,96719.6,116847.8,,2577.55
2022,Enero,Ecuador,Chrysal Flora F,Regulador de crecimiento,Field Campaign,2613,,10992.52,6711.99,4280.53,,150.78
2025,Mayo,Ecuador,Chrysal Protect Y,Fertilizante,Field Campaign,28291,6751.0,172555.43,111498.2,61057.23,25.56,1310.41
2025,Febrero,Holanda,Chrysal Grow X,Insecticida,Field Campaign,19645,6751.0,127239.18,72677.14,54562.04,18.85,438.58
2024,Abril,Kenya,Chrysal Protect Y,Fertilizante,Social Media,14118,,81354.48,44805.3,36549.18,,705.52
2022,Febrero,Colombia,Chrysal Root R,Nutricional,E-mail Marketing,18000,6751.0,106539.81,66660.16,39879.64,15.78,1185.96
2025,Enero,Ecuador,Chrysal Grow X,Fertilizante,Influencers Agrícolas,882,6751.0,5719.7,3663.49,2056.21,0.85,31.69
2025,Abril,Ecuador,Chrysal Boost Z,Nutricional,Influencers Agrícolas,2720,6751.0,14782.65,8883.01,5899.65,2.19,186.07
2023,Marzo,Holanda,Chrysal Flora F,Fungicida,E-mail Marketing,12483,6751.0,57812.43,31166.14,26646.29,8.56,438.26
2025,Febrero,Colombia,Chrysal Protect Y,Fungicida,Field Campaign,12136,6751.0,73560.34,41814.95,31745.39,10.9,842.54
2025,Enero,Holanda,Chrysal Grow X,Regulador de crecimiento,Influencers Agrícolas,16396,6751.0,89507.59,52826.22,36681.37,13.26,411.8
2023,Mayo,Colombia,Chrysal Root R,Insecticida,Influencers Agrícolas,2893,6751.0,15533.18,7593.47,7939.71,2.3,208.21
2024,Abril,Colombia,Chrysal Grow X,Regulador de crecimiento,E-mail Marketing,13705,,,33156.37,28308.03,,
2025,Febrero,Colombia,Chrysal Root R,Nutricional,Influencers Agrícolas,25151,6751.0,146934.72,90506.54,56428.19,21.76,950.51
2023,Febrero,Ecuador,Chrysal Boost Z,Regulador de crecimiento,Field Campaign,31781,,127775.56,74230.58,53544.98,,1141.15
2022,Marzo,Kenya,Chrysal Flora F,Fertilizante,E-mail Marketing,9167,,,30716.44,26995.1,,
2024,Marzo,Holanda,Chrysal Boost Z,Nutricional,Field Campaign,6085,,28476.12,16592.25,11883.87,,486.45
2022,Mayo,Kenya,Chrysal Protect Y,Fungicida,Influencers Agrícolas,17553,6751.0,72757.04,34460.97,38296.07,10.78,583.1
2022,Mayo,Holanda,Chrysal Grow X,Insecticida,Influencers Agrícolas,19285,6751.0,96316.8,51076.76,45240.05,14.27,505.13
2023,Enero,Colombia,Chrysal Root R,Nutricional,Field Campaign,13777,,53932.39,32824.64,21107.75,,759.14
2025,Enero,Ecuador,Chrysal Root R,Nutricional,Social Media,20674,6751.0,116776.9,57699.67,59077.23,17.3,1019.49
2023,Mayo,Kenya,Chrysal Grow X,Fertilizante,Influencers Agrícolas,8474,,52854.92,25750.51,27104.41,,436.0
2023,Mayo,Ecuador,Chrysal Grow X,Insecticida,Social Media,29838,6751.0,180836.48,115764.96,65071.53,26.79,1790.76
